Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 8:21,UF,Other,11/27/2022 4:18:50.5,11/27/2022 5:14:20.5,,,,,,,whales?,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 8:31,UF,Other,11/28/2022 1:32:09.5,11/28/2022 7:52:58.5,,,,,,,whales?,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 8:35,UF,Other,12/4/2022 0:04:55.5,12/4/2022 8:10:45.5,,,,,,,off effort,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 8:42,UF,Other,12/9/2022 5:02:22.5,12/9/2022 7:29:10.5,,,,,,,whales?,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 8:44,UF,Other,12/9/2022 8:26:40.5,12/9/2022 11:03:20.5,,,,,,,whales?,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 8:45,UF,Other,12/11/2022 0:08:55.5,12/11/2022 14:47:30.5,,,,,,,off effort,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 8:45,UF,Other,12/12/2022 0:28:46.5,12/12/2022 22:25:40.5,,,,,,,off effort,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 8:46,UF,Other,12/13/2022 0:30:37.5,12/13/2022 14:09:42.5,,,,,,,off effort,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 9:01,UF,Other,12/23/2022 5:26:13.5,12/23/2022 9:36:05.5,,,,,,,whales?,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 9:02,UF,Other,12/24/2022 4:14:46.5,12/24/2022 11:13:11.5,,,,,,,off effort,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 9:05,UF,Other,12/31/2022 18:05:41.5,12/31/2022 23:17:06.5,,,,,,,off effort,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 9:15,UF,Other,1/23/2023 1:16:18.5,1/23/2023 14:29:41.5,,,,,,,off effort,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 9:16,UF,Other,1/24/2023 5:34:10.5,1/24/2023 6:01:55.5,,,,,,,whales?,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 9:17,UF,Other,1/25/2023 1:06:24.5,1/25/2023 14:59:25.5,,,,,,,off effort,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 9:33,UF,Other,1/27/2023 0:22:46.5,1/27/2023 9:14:18.5,,,,,,,whales?,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 9:37,UF,Other,2/3/2023 13:38:06.5,2/3/2023 15:37:06.5,,,,,,,whales?,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 9:41,UF,Other,2/9/2023 3:47:05.5,2/9/2023 10:51:28.5,,,,,,,whales?,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 9:42,UF,Other,2/11/2023 0:42:37.5,2/11/2023 13:48:02.5,,,,,,,off effort,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/10/2023 9:42,UF,Other,2/12/2023 0:34:38.5,2/12/2023 18:05:46.5,,,,,,,off effort,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/12/2023 8:51,UF,Other,2/14/2023 3:37:05.5,2/14/2023 8:34:35.5,,,,,,,off effort,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/12/2023 8:52,UF,Other,2/15/2023 0:24:44.5,2/15/2023 19:56:53.5,,,,,,,off effort,,
D:\Chumash NMS Fish Data\df24\CH01_02_df24\CH01_02_df24_5s_1Hz_LTSA_NEWew.ltsa,7/12/2023 9:07,UF,Other,2/22/2023 0:12:51.5,2/22/2023 23:21:09.5,,,,,,,off effort,,
