Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
D:\CHNMS MB05 Data\df24 and LTSA\CH01_04_df24\CH01_04_df24_5s_1Hz.ltsa,8/27/2024 15:15,UF,Other,7/15/2023 4:20:48,7/15/2023 6:57:33,,,,,,,Midshipman,,
D:\CHNMS MB05 Data\df24 and LTSA\CH01_04_df24\CH01_04_df24_5s_1Hz.ltsa,8/27/2024 15:16,UF,Other,7/16/2023 4:14:50,7/16/2023 7:54:56,,,,,,,Midshipman,,
D:\CHNMS MB05 Data\df24 and LTSA\CH01_04_df24\CH01_04_df24_5s_1Hz.ltsa,8/27/2024 15:17,UF,Other,7/17/2023 4:18:49,7/17/2023 9:48:03,,,,,,,Midshipman,,
D:\CHNMS MB05 Data\df24 and LTSA\CH01_04_df24\CH01_04_df24_5s_1Hz.ltsa,8/27/2024 15:18,UF,Other,7/18/2023 4:14:53,7/18/2023 11:05:26,,,,,,,Midshipman,,
D:\CHNMS MB05 Data\df24 and LTSA\CH01_04_df24\CH01_04_df24_5s_1Hz.ltsa,8/27/2024 15:18,UF,Other,7/19/2023 5:16:22,7/19/2023 11:25:15,,,,,,,Midshipman,,
D:\CHNMS MB05 Data\df24 and LTSA\CH01_04_df24\CH01_04_df24_5s_1Hz.ltsa,8/27/2024 15:19,UF,Other,7/19/2023 4:06:57,7/19/2023 4:30:42,,,,,,,Bocaccio sunset,,
D:\CHNMS MB05 Data\df24 and LTSA\CH01_04_df24\CH01_04_df24_5s_1Hz.ltsa,8/27/2024 15:19,UF,Other,7/18/2023 4:06:58,7/18/2023 4:48:38,,,,,,,Bocaccio sunset,,
D:\CHNMS MB05 Data\df24 and LTSA\CH01_04_df24\CH01_04_df24_5s_1Hz.ltsa,8/27/2024 15:19,UF,Other,7/17/2023 4:06:54,7/17/2023 4:16:49,,,,,,,Bocaccio sunset,,
D:\CHNMS MB05 Data\df24 and LTSA\CH01_04_df24\CH01_04_df24_5s_1Hz.ltsa,8/27/2024 15:19,UF,Other,7/16/2023 4:22:45,7/16/2023 4:42:35,,,,,,,Bocaccio sunset,,
D:\CHNMS MB05 Data\df24 and LTSA\CH01_04_df24\CH01_04_df24_5s_1Hz.ltsa,8/27/2024 15:20,UF,Other,7/15/2023 4:16:53,7/15/2023 4:36:43,,,,,,,Bocaccio sunset,,
