Deployment,Start,End
CI01_01,10/31/2018 21:23,12/17/2018 15:58
CI01_02,3/25/2019 20:08,8/4/2019 3:30
CI01_03,8/13/2019 22:10,10/30/2019 0:21
CI01_04,1/24/2020 7:11,6/4/2020 19:53
CI01_05,6/4/2020 23:11,10/10/2020 22:41
CI01_06,10/22/2020 16:11,2/23/2021 12:46
CI01_07,3/5/2021 19:02,7/1/2021 15:41
CI01_08,7/8/2021 18:21,9/11/2021 23:21
CI02_01,10/31/2018 17:57,3/13/2019 14:35
CI02_02,3/25/2019 19:09,7/23/2019 11:33
CI02_03,8/14/2019 0:08,12/11/2019 21:16
CI02_04,2/5/2020 21:09,6/4/2020 14:42
CI02_05,6/4/2020 18:39,10/22/2020 15:47
CI02_06,10/22/2020 18:08,3/2/2021 22:45
CI02_07,6/18/2021 20:03,11/11/2021 1:15
CI03_02,10/15/2019 20:54,2/19/2020 17:06
CI03_03,3/18/2020 1:08,7/21/2020 11:54
CI03_04,8/3/2020 13:17,11/3/2020 9:39
CI03_05,11/4/2020 2:05,3/7/2021 23:00
CI03_06,5/10/2021 12:16,8/17/2021 8:42
CI03_07,9/16/2021 4:06,1/19/2022 14:35
CI04_01,11/1/2018 19:11,3/1/2019 4:25
CI04_02,3/26/2019 18:18,8/9/2019 1:03
CI04_03,8/13/2019 20:26,12/10/2019 20:07
CI04_04,1/31/2020 21:06,5/22/2020 20:51
CI04_05,6/4/2020 13:05,10/22/2020 8:38
CI04_06,10/23/2020 9:11,3/2/2021 23:47
CI04_07,3/6/2021 5:12,7/30/2021 16:41
CI04_08,7/30/2021 18:27,11/15/2021 14:55
CI05_01,11/1/2018 16:50,3/15/2019 13:34
CI05_02,3/26/2019 20:39,7/28/2019 11:42
CI05_03,8/14/2019 17:29,10/11/2019 17:00
CI05_04,12/21/2019 6:34,5/7/2020 17:42
CI05_05,5/8/2020 1:09,5/16/2020 2:39
CI05_06,10/15/2020 1:06,2/11/2021 15:41
CI05_08,7/7/2021 16:16,11/12/2021 19:10
