Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:18,UF,Other,3/29/2020 7:44:07.5,3/29/2020 10:54:45.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:20,UF,Other,4/6/2020 3:59:50.5,4/6/2020 10:23:54.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:20,UF,Other,4/7/2020 5:20:05.5,4/7/2020 8:30:38.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:20,UF,Other,4/8/2020 4:24:53.5,4/8/2020 9:59:51.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:21,UF,Other,4/9/2020 7:08:29.5,4/9/2020 10:13:07.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:21,UF,Other,4/10/2020 8:10:53.5,4/10/2020 11:28:58.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:22,UF,Other,4/11/2020 9:04:18.5,4/11/2020 11:22:48.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:22,UF,Other,4/13/2020 7:13:55.5,4/13/2020 10:20:02.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:22,UF,Other,4/14/2020 7:58:22.5,4/14/2020 10:55:32.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:22,UF,Other,4/15/2020 6:33:21.5,4/15/2020 12:41:09.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:22,UF,Other,4/17/2020 3:49:20.5,4/17/2020 8:33:44.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:23,UF,Other,4/20/2020 3:59:22.5,4/20/2020 12:37:30.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:24,UF,Other,4/24/2020 5:20:45.5,4/24/2020 11:28:28.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:24,UF,Other,4/25/2020 5:11:38.5,4/25/2020 11:20:56.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:25,UF,Other,4/26/2020 5:16:02.5,4/26/2020 12:42:45.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:25,UF,Other,4/27/2020 6:27:23.5,4/27/2020 10:04:46.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:25,UF,Other,4/28/2020 4:43:01.5,4/28/2020 9:40:49.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:25,UF,Other,4/29/2020 5:43:58.5,4/29/2020 16:28:40.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:25,UF,Other,4/30/2020 7:07:11.5,4/30/2020 10:14:49.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:25,UF,Other,5/2/2020 15:16:46.5,5/2/2020 18:12:31.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:26,UF,Other,5/10/2020 8:51:34.5,5/10/2020 12:20:04.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:26,UF,Other,5/11/2020 2:09:24.5,5/11/2020 11:57:37.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_2\CI\CI04\CI04_04\SanctSound_CI04_04_df24\SanctSound_CI04_04_5s_1Hz_df24.ltsa,2/10/2023 10:26,UF,Other,5/13/2020 6:05:54.5,5/13/2020 11:33:32.5,,,,,,,Lingcod,,
