Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 8:50,UF,Other,8/23/2019 2:51:18.5,8/23/2019 4:02:48.5,,,,,,,HF sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 8:51,UF,Other,8/23/2019 2:32:38.5,8/23/2019 12:14:39.5,,,,,,,HF,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 8:53,UF,Other,8/23/2019 1:27:58.5,8/23/2019 9:19:19.5,,,,,,,Lingcod,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 8:53,UF,Other,8/24/2019 2:54:31.5,8/24/2019 3:52:26.5,,,,,,,HF sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 8:53,UF,Other,8/24/2019 2:52:51.5,8/24/2019 12:41:44.5,,,,,,,HF,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 8:57,UF,Other,8/23/2019 23:30:20.5,8/24/2019 7:38:44.5,,,,,,,Lingcod,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 8:57,UF,Other,8/24/2019 2:54:36.5,8/24/2019 3:57:36.5,,,,,,,Bocaccio sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 8:58,UF,Other,8/25/2019 2:56:17.5,8/25/2019 3:55:52.5,,,,,,,HF sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 8:58,UF,Other,8/25/2019 2:56:17.5,8/25/2019 12:26:25.5,,,,,,,HF,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 8:58,UF,Other,8/25/2019 11:45:35.5,8/25/2019 12:24:45.5,,,,,,,HF sunrise,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 8:59,UF,Other,8/25/2019 2:32:27.5,8/25/2019 3:52:27.5,,,,,,,Bocaccio sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 9:01,UF,Other,8/26/2019 2:51:03.5,8/26/2019 3:43:53.5,,,,,,,HF sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 9:01,UF,Other,8/26/2019 2:52:48.5,8/26/2019 12:58:41.5,,,,,,,HF,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 9:01,UF,Other,8/26/2019 11:42:06.5,8/26/2019 13:03:48.5,,,,,,,HF sunrise,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 9:02,UF,Other,8/26/2019 2:44:18.5,8/26/2019 3:50:38.5,,,,,,,Bocaccio sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 9:02,UF,Other,8/27/2019 2:52:43.5,8/27/2019 3:45:28.5,,,,,,,HF sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 9:02,UF,Other,8/27/2019 2:59:28.5,8/27/2019 11:30:06.5,,,,,,,HF,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 9:02,UF,Other,8/27/2019 2:52:43.5,8/27/2019 3:38:38.5,,,,,,,Bocaccio sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 9:31,UF,Other,8/28/2019 2:33:49.5,8/28/2019 3:45:19.5,,,,,,,HF sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 10:05,UF,Other,8/28/2019 2:44:04.5,8/28/2019 12:14:11.5,,,,,,,HF,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/12/2022 10:06,UF,Other,8/28/2019 2:44:04.5,8/28/2019 3:45:19.5,,,,,,,Bocaccio sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:01,UF,Other,8/29/2019 2:40:34.5,8/29/2019 3:34:59.5,,,,,,,HF sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:02,UF,Other,8/29/2019 2:40:34.5,8/29/2019 13:03:29.5,,,,,,,HF,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:02,UF,Other,8/29/2019 2:43:59.5,8/29/2019 3:41:49.5,,,,,,,Bocaccio sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:04,UF,Other,8/30/2019 2:49:00.5,8/30/2019 3:31:35.5,,,,,,,HF sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:04,UF,Other,8/30/2019 2:47:20.5,8/30/2019 13:18:40.5,,,,,,,HF,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:05,UF,Other,8/30/2019 12:15:47.5,8/30/2019 12:51:32.5,,,,,,,HF sunrise,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:05,UF,Other,8/30/2019 2:42:10.5,8/30/2019 3:45:10.5,,,,,,,Bocaccio sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:07,UF,Other,8/30/2019 6:13:15.5,8/30/2019 9:11:57.5,,,,,,,Lingcod,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:37,UF,Other,8/31/2019 2:38:41.5,8/31/2019 3:24:41.5,,,,,,,HF sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:37,UF,Other,8/31/2019 2:43:51.5,8/31/2019 13:10:07.5,,,,,,,HF,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:37,UF,Other,8/31/2019 2:37:01.5,8/31/2019 3:46:46.5,,,,,,,Bocaccio sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:39,UF,Other,8/31/2019 3:09:21.5,8/31/2019 7:22:54.5,,,,,,,Lingcod,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:39,UF,Other,9/1/2019 2:45:28.5,9/1/2019 3:29:43.5,,,,,,,HF sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:39,UF,Other,9/1/2019 2:45:28.5,9/1/2019 13:10:05.5,,,,,,,HF,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:40,UF,Other,9/1/2019 12:15:41.5,9/1/2019 12:49:41.5,,,,,,,HF sunrise,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:40,UF,Other,9/1/2019 2:45:28.5,9/1/2019 3:51:53.5,,,,,,,Bocaccio sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:40,UF,Other,9/2/2019 2:50:30.5,9/2/2019 3:41:35.5,,,,,,,HF sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:41,UF,Other,9/2/2019 2:47:10.5,9/2/2019 12:49:38.5,,,,,,,HF,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:41,UF,Other,9/2/2019 2:35:15.5,9/2/2019 3:46:40.5,,,,,,,Bocaccio sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:41,UF,Other,9/3/2019 2:45:20.5,9/3/2019 3:38:05.5,,,,,,,HF sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:42,UF,Other,9/3/2019 2:52:10.5,9/3/2019 12:52:58.5,,,,,,,HF,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:42,UF,Other,9/3/2019 2:27:55.5,9/3/2019 2:54:15.5,,,,,,,Bocaccio sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:43,UF,Other,9/4/2019 2:41:51.5,9/4/2019 3:19:21.5,,,,,,,HF sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:43,UF,Other,9/4/2019 2:40:11.5,9/4/2019 13:37:05.5,,,,,,,HF,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:46,UF,Other,9/4/2019 1:44:01.5,9/4/2019 3:46:31.5,,,,,,,Off effort,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:46,UF,Other,9/5/2019 2:21:29.5,9/5/2019 3:17:39.5,,,,,,,HF sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:47,UF,Other,9/5/2019 2:33:24.5,9/5/2019 13:40:34.5,,,,,,,HF,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:47,UF,Other,9/5/2019 2:16:24.5,9/5/2019 3:27:54.5,,,,,,,Bocaccio sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:47,UF,Other,9/6/2019 2:33:19.5,9/6/2019 3:29:29.5,,,,,,,HF sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:48,UF,Other,9/6/2019 2:35:04.5,9/6/2019 13:03:05.5,,,,,,,HF,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:48,UF,Other,9/6/2019 2:38:24.5,9/6/2019 3:37:59.5,,,,,,,Bocaccio sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:49,UF,Other,9/7/2019 2:21:20.5,9/7/2019 3:29:25.5,,,,,,,HF sunset,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:49,UF,Other,9/7/2019 2:16:15.5,9/7/2019 13:04:42.5,,,,,,,HF,,
\\snowman.ucsd.edu\sanctsound_decimated\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,7/13/2022 10:49,UF,Other,9/7/2019 2:21:20.5,9/7/2019 3:37:55.5,,,,,,,Bocaccio sunset,,
