Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:20,UF,Other,8/23/2019 3:34:58,8/23/2019 11:30:09,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:21,UF,Other,8/24/2019 3:54:31,8/24/2019 11:22:19,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:21,UF,Other,8/25/2019 3:37:17,8/25/2019 11:59:50,,,,,,,Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:21,UF,Other,8/26/2019 3:22:23,8/26/2019 11:15:11,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:22,UF,Other,8/27/2019 3:20:38,8/27/2019 10:34:06,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:25,UF,Other,8/28/2019 3:58:29,8/28/2019 11:33:26,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:26,UF,Other,8/29/2019 3:45:59,8/29/2019 11:45:57,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:26,UF,Other,8/30/2019 3:15:01,8/30/2019 12:28:12,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:26,UF,Other,8/31/2019 2:54:11,8/31/2019 12:30:04,,,,,,,Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:30,UF,Other,9/1/2019 3:27:34,9/1/2019 12:15:12,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:31,UF,Other,9/2/2019 3:03:11,9/2/2019 12:06:53,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:31,UF,Other,9/3/2019 3:37:45,9/3/2019 11:49:39,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:33,UF,Other,9/4/2019 2:41:01,9/4/2019 12:34:43,,,,,,"Total guess, chorus stil there but start and end totally unclear",Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:36,UF,Other,9/6/2019 3:21:39,9/6/2019 11:53:47,,,,,,,Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:37,UF,Other,9/7/2019 3:16:55,9/7/2019 11:40:44,,,,,,"Start unclear, ships",Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:37,UF,Other,9/8/2019 7:43:05,9/8/2019 12:17:05,,,,,,,Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:38,UF,Other,9/9/2019 3:21:44,9/9/2019 11:52:42,,,,,,,Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:38,UF,Other,9/10/2019 2:48:26,9/10/2019 11:21:09,,,,,,Start a little vague,Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:39,UF,Other,9/11/2019 3:02:08,9/11/2019 10:29:56,,,,,,,Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:39,UF,Other,9/12/2019 9:05:24,9/12/2019 12:10:04,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:41,UF,Other,9/13/2019 3:09:44,9/13/2019 4:59:19,,,,,,,Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:41,UF,Other,9/14/2019 3:10:20,9/14/2019 4:26:01,,,,,,Could be wrong,Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:42,UF,Other,9/15/2019 3:02:37,9/15/2019 5:49:23,,,,,,A little unclear,Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:42,UF,Other,9/16/2019 3:08:40,9/16/2019 5:41:40,,,,,,Obscured by ships,Midshipman,,
R:\MB\MB02\MB02_03_df24\SanctSound_MB02_03_df24_5s1Hz_LTSA.ltsa,6/28/2021 6:43,UF,Other,9/17/2019 2:45:27,9/17/2019 6:47:47,,,,,,,Midshipman,,
