Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:28,UF,Other,1/28/2022 1:36:13,1/28/2022 11:23:13,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:29,UF,Other,1/29/2022 1:36:08,1/29/2022 11:50:54,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:39,UF,Other,1/30/2022 1:48:05,1/30/2022 12:40:31,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:41,UF,Other,1/31/2022 1:36:08,1/31/2022 12:38:33,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:41,UF,Other,2/1/2022 0:36:39,2/1/2022 14:03:48,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:41,UF,Other,2/2/2022 1:22:14,2/2/2022 14:17:44,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:42,UF,Other,2/3/2022 1:30:09,2/3/2022 13:18:14,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:42,UF,Other,2/4/2022 2:19:50,2/4/2022 12:50:26,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:44,UF,Other,2/5/2022 1:56:02,2/5/2022 12:46:32,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:44,UF,Other,2/6/2022 1:56:03,2/6/2022 13:59:53,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:44,UF,Other,2/7/2022 0:04:54,2/7/2022 14:47:30,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:44,UF,Other,2/8/2022 0:12:51,2/8/2022 14:23:42,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:45,UF,Other,2/9/2022 0:36:38,2/9/2022 14:09:48,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:45,UF,Other,2/10/2022 0:02:58,2/10/2022 14:29:44,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:45,UF,Other,2/11/2022 0:32:41,2/11/2022 14:09:52,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:50,UF,Other,2/12/2022 1:08:23,2/12/2022 12:16:44,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:50,UF,Other,2/13/2022 1:28:15,2/13/2022 11:39:05,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:50,UF,Other,2/14/2022 1:12:20,2/14/2022 12:12:45,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:51,UF,Other,2/15/2022 1:06:25,2/15/2022 10:51:26,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:51,UF,Other,2/16/2022 1:10:22,2/16/2022 11:52:57,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:52,UF,Other,2/17/2022 1:44:03,2/17/2022 14:01:48,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:52,UF,Other,2/18/2022 0:06:54,2/18/2022 14:23:40,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:52,UF,Other,2/19/2022 0:40:35,2/19/2022 14:01:51,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:53,UF,Other,2/20/2022 1:30:12,2/20/2022 14:21:43,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:53,UF,Other,2/21/2022 1:34:08,2/21/2022 14:41:29,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:54,UF,Other,2/21/2022 19:17:12,2/22/2022 14:07:51,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:54,UF,Other,2/22/2022 21:55:53,2/22/2022 21:55:53,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:54,UF,Other,2/24/2022 0:10:49,2/24/2022 14:23:39,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:54,UF,Other,2/25/2022 2:09:55,2/25/2022 14:17:45,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:54,UF,Other,2/26/2022 2:03:56,2/26/2022 14:17:48,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:55,UF,Other,2/27/2022 1:51:59,2/27/2022 14:33:36,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 13:55,UF,Other,2/28/2022 1:10:21,2/28/2022 14:33:36,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:00,UF,Other,3/1/2022 0:46:36,3/1/2022 14:31:36,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:00,UF,Other,3/2/2022 0:18:52,3/2/2022 14:05:52,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:00,UF,Other,3/3/2022 1:22:17,3/3/2022 13:53:57,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:00,UF,Other,3/4/2022 1:42:08,3/4/2022 10:09:54,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:00,UF,Other,3/5/2022 1:42:04,3/5/2022 10:07:51,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:00,UF,Other,3/6/2022 1:06:26,3/6/2022 11:47:01,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:01,UF,Other,3/6/2022 22:11:42,3/7/2022 11:58:57,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:01,UF,Other,3/8/2022 1:10:19,3/8/2022 12:32:35,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:01,UF,Other,3/9/2022 2:31:41,3/9/2022 13:42:02,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:02,UF,Other,3/9/2022 23:09:18,3/10/2022 13:46:03,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:07,UF,Other,3/10/2022 4:06:55,3/10/2022 13:49:58,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:08,UF,Other,3/11/2022 3:19:22,3/11/2022 13:24:13,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:08,UF,Other,3/12/2022 2:43:33,3/12/2022 13:32:05,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:08,UF,Other,3/13/2022 3:31:11,3/13/2022 12:58:27,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:08,UF,Other,3/14/2022 2:15:52,3/14/2022 14:15:48,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:08,UF,Other,3/15/2022 2:03:54,3/15/2022 14:09:49,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:09,UF,Other,3/15/2022 21:26:07,3/16/2022 15:43:01,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:09,UF,Other,3/16/2022 22:49:27,3/17/2022 13:16:17,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:10,UF,Other,3/17/2022 22:43:28,3/18/2022 13:49:58,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:10,UF,Other,3/19/2022 1:18:19,3/19/2022 13:41:59,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:10,UF,Other,3/20/2022 1:50:00,3/20/2022 13:53:56,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:11,UF,Other,3/20/2022 22:45:26,3/21/2022 13:26:12,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:11,UF,Other,3/22/2022 2:19:52,3/22/2022 11:19:19,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:12,UF,Other,3/23/2022 1:18:19,3/23/2022 13:16:14,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:12,UF,Other,3/24/2022 1:00:26,3/24/2022 10:43:33,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:12,UF,Other,3/25/2022 1:38:09,3/25/2022 13:20:10,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:13,UF,Other,3/26/2022 2:27:46,3/26/2022 13:18:16,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:13,UF,Other,3/27/2022 2:53:32,3/27/2022 13:26:13,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:14,UF,Other,3/28/2022 2:29:48,3/28/2022 13:24:13,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:14,UF,Other,3/29/2022 2:27:44,3/29/2022 13:28:10,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:14,UF,Other,3/30/2022 2:13:51,3/30/2022 13:14:17,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:25,UF,Other,3/31/2022 2:09:54,3/31/2022 13:24:09,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:25,UF,Other,4/1/2022 1:02:25,4/1/2022 12:32:36,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:26,UF,Other,4/1/2022 23:25:07,4/2/2022 8:50:30,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:27,UF,Other,4/3/2022 0:40:33,4/3/2022 7:50:55,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:27,UF,Other,4/4/2022 0:12:49,4/4/2022 6:33:38,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:27,UF,Other,4/5/2022 1:24:17,4/5/2022 4:26:45,,,,,,,UF310
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:28,UF,Other,4/5/2022 6:47:35,4/5/2022 13:10:18,,,,,,,White Seabass
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:35,UF,Other,4/18/2022 2:59:28,4/18/2022 7:13:15,,,,,,,Off Effort
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:35,UF,Other,4/18/2022 8:36:35,4/18/2022 12:00:48,,,,,,,Bocaccio
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:35,UF,Other,4/19/2022 3:09:24,4/19/2022 11:52:54,,,,,,,Bocaccio
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:36,UF,Other,4/20/2022 3:09:25,4/20/2022 10:49:31,,,,,,,Bocaccio
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:37,UF,Other,4/22/2022 3:17:18,4/22/2022 10:55:23,,,,,,,Off Effort
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:37,UF,Other,4/23/2022 3:13:18,4/23/2022 12:04:48,,,,,,,Off Effort
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:37,UF,Other,4/24/2022 2:49:38,4/24/2022 12:08:53,,,,,,,Bocaccio
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:50,UF,Other,5/9/2022 3:29:17,5/9/2022 11:25:13,,,,,,,Bocaccio
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:50,UF,Other,5/7/2022 3:47:02,5/7/2022 11:50:55,,,,,,,Bocaccio
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:50,UF,Other,5/5/2022 4:02:55,5/5/2022 11:29:13,,,,,,,Bocaccio
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:51,UF,Other,4/30/2022 4:34:39,4/30/2022 7:25:14,,,,,,,Bocaccio
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:52,UF,Other,5/6/2022 3:43:04,5/6/2022 11:56:55,,,,,,,Off Effort
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 14:52,UF,Other,5/8/2022 3:15:21,5/8/2022 12:16:46,,,,,,,Off Effort
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 19:10,UF,Other,1/28/2022 11:13:18,1/28/2022 14:35:38,,,,,,,Bocaccio
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 19:10,UF,Other,1/29/2022 10:57:24,1/29/2022 14:19:44,,,,,,,Bocaccio
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 19:10,UF,Other,1/30/2022 9:57:58,1/30/2022 14:05:51,,,,,,,Bocaccio
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 19:13,UF,Other,2/13/2022 10:07:50,2/13/2022 14:03:50,,,,,,,Bocaccio
J:\MB02_10\MB02_10_df24\LTSA_MB02_10_df24_5s_1Hz.ltsa,8/6/2024 19:13,UF,Other,2/14/2022 10:09:50,2/14/2022 14:21:40,,,,,,,Bocaccio
