Input file,Event Number,Species Code,Call,Start time,End time,Comments,Image,Audio
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:11,UF,Other,4/25/2022 3:03:27.5,4/25/2022 4:16:52.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:17,UF,Other,4/25/2022 3:03:27.5,4/25/2022 10:01:57.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:18,UF,Other,4/25/2022 10:03:57.5,4/25/2022 11:03:27.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:19,UF,Other,4/26/2022 0:06:56.5,4/26/2022 6:29:44.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:20,UF,Other,4/26/2022 3:27:16.5,4/26/2022 12:44:32.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:20,UF,Other,4/27/2022 3:13:18.5,4/27/2022 13:18:13.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:21,UF,Other,4/28/2022 3:05:24.5,4/28/2022 13:00:20.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:21,UF,Other,4/29/2022 3:17:17.5,4/29/2022 12:44:28.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:21,UF,Other,4/29/2022 2:35:37.5,4/29/2022 10:33:35.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:22,UF,Other,4/30/2022 3:21:13.5,4/30/2022 12:32:33.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:23,UF,Other,5/1/2022 3:25:14.5,5/1/2022 12:50:26.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:23,UF,Other,5/1/2022 3:27:14.5,5/1/2022 4:08:54.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:24,UF,Other,5/2/2022 3:21:17.5,5/2/2022 12:40:33.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:26,UF,Other,5/3/2022 0:10:50.5,5/3/2022 9:59:53.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:26,UF,Other,5/3/2022 3:25:15.5,5/3/2022 12:26:41.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:27,UF,Other,5/4/2022 3:15:18.5,5/4/2022 12:34:34.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:28,UF,Other,5/4/2022 3:23:13.5,5/4/2022 4:56:28.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:29,UF,Other,5/5/2022 3:11:21.5,5/5/2022 12:42:32.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:29,UF,Other,5/5/2022 3:07:26.5,5/5/2022 5:28:16.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:29,UF,Other,5/6/2022 3:09:23.5,5/6/2022 12:38:34.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:31,UF,Other,5/7/2022 3:21:14.5,5/7/2022 12:12:45.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:31,UF,Other,5/7/2022 3:17:19.5,5/7/2022 4:06:54.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/13/2023 10:31,UF,Other,5/8/2022 0:20:47.5,5/8/2022 13:26:13.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:43,UF,Other,5/9/2022 3:21:14.5,5/9/2022 12:18:45.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:44,UF,Other,5/9/2022 3:21:14.5,5/9/2022 4:32:39.5,bocaccio sunset,,
